A1	B1	B2	Mean_classification_prob
47	1.0	10.0	0.6052915760094523
6	1.0	11.0	0.21724960765691026
22	1.0	11.0	0.2254708637609275
2	1.0	11.0	0.4496393160615655
7	1.0	11.0	0.3328278368591369
23	1.0	11.0	0.2372596045556984
3	1.0	11.0	0.12199082248091482
8	1.0	11.0	0.8562617736079243
11	1.0	11.0	0.3745293985931
13	1.0	11.0	0.31273913051438273
24	1.0	11.0	0.2378254933247011
4	1.0	11.0	0.12155033307062063
9	1.0	11.0	0.6751846332697464
14	1.0	11.0	0.7000699555951188
17	1.0	11.0	0.5600063498740985
18	1.0	11.0	0.8083883512177908
25	1.0	11.0	0.4269857179641989
5	1.0	11.0	0.12325222624954768
10	1.0	11.0	0.2575940929273691
34	1.0	11.0	0.8507545009922434
21	1.0	11.0	0.7687262740122841
26	1.0	11.0	0.4931643064227957
30	1.0	11.0	0.7926784054415551
33	1.0	11.0	0.8805595782618649
36	1.0	11.0	0.946022728950139
37	1.0	11.0	0.9021713805930868
38	1.0	11.0	0.9591220886482458
39	1.0	11.0	0.9684694026402009
40	1.0	11.0	0.9578306942585
42	1.0	11.0	0.8062576455955882
43	1.0	11.0	0.7183125257747762
44	1.0	11.0	0.7049745907430811
45	1.0	11.0	0.6682076218347902
46	1.0	11.0	0.7225473590724479
47	1.0	11.0	0.6030132147318197
22	1.0	13.0	0.008895235610823409
23	1.0	13.0	0.009634672818499643
11	1.0	13.0	0.2662005919505749
24	1.0	13.0	0.009629237230053215
14	1.0	13.0	0.6921329805256505
17	1.0	13.0	0.05148305508903682
25	1.0	13.0	0.03220242911162476
34	1.0	13.0	0.9166736286349936
26	1.0	13.0	0.6949521638493108
30	1.0	13.0	0.8613845323180648
33	1.0	13.0	0.7120255290971409
36	1.0	13.0	0.9746589159391748
37	1.0	13.0	0.9753423194368338
38	1.0	13.0	0.9794412188351416
39	1.0	13.0	0.9856261500806324
40	1.0	13.0	0.9750159968451012
41	1.0	13.0	0.9709629599318408
42	1.0	13.0	0.8801149792083841
43	1.0	13.0	0.7909948778151883
44	1.0	13.0	0.7382748123836255
45	1.0	13.0	0.6386762784425974
46	1.0	13.0	0.4205613630387561
47	1.0	13.0	0.4799416939197355
22	1.0	14.0	0.008600649982281595
