A1	A2	B1	Mean_classification_prob
1.0	44.0	60	0.04140633271960314
1.0	45.0	39	0.010805480153293393
1.0	45.0	8	0.06731666580292754
1.0	45.0	9	0.06758757509705113
1.0	45.0	10	0.1168989450523514
1.0	45.0	11	0.056436907224065525
1.0	45.0	13	0.12209960545258924
1.0	45.0	14	0.08369690875441692
1.0	45.0	40	0.026274124804597662
1.0	45.0	45	0.014579608674365543
1.0	45.0	18	0.052258462025513146
1.0	45.0	19	0.06191159945021565
1.0	45.0	20	0.060910568644221175
1.0	45.0	21	0.09047084875770453
1.0	45.0	22	0.0801388248437254
1.0	45.0	23	0.018429239943418024
1.0	45.0	41	0.042431667471267455
1.0	45.0	46	0.011132789979449895
1.0	45.0	26	0.03762510539269831
1.0	45.0	27	0.056870253934300986
1.0	45.0	28	0.04391558729526948
1.0	45.0	29	0.07300655552085734
1.0	45.0	30	0.04410777199262611
1.0	45.0	31	0.020288334932174808
1.0	45.0	32	0.011813545079830387
1.0	45.0	42	0.017886563196714087
1.0	45.0	44	0.02301768868762435
1.0	45.0	48	0.04873452155194897
1.0	45.0	57	0.0374637388571534
1.0	45.0	58	0.043844343100984236
1.0	45.0	59	0.062279376841748314
1.0	45.0	60	0.04169622199495798
1.0	46.0	39	0.0150200704041473
1.0	46.0	8	0.4616968007802762
1.0	46.0	9	0.15140099003163518
1.0	46.0	10	0.21192168147712484
1.0	46.0	11	0.16563711461026892
1.0	46.0	13	0.165093183990797
1.0	46.0	14	0.10865288082679182
1.0	46.0	40	0.11443917247223907
1.0	46.0	45	0.02001950728880412
1.0	46.0	18	0.13290085602517016
1.0	46.0	19	0.18506401855747512
1.0	46.0	20	0.12015349699456555
1.0	46.0	21	0.17107751873487811
1.0	46.0	22	0.13322491938096306
1.0	46.0	23	0.02737487888076831
1.0	46.0	41	0.0846670106033776
1.0	46.0	46	0.03994626858689597
1.0	46.0	26	0.3468462085474073
1.0	46.0	27	0.3532213883828797
1.0	46.0	28	0.08598169435269631
1.0	46.0	29	0.1378349337376921
1.0	46.0	30	0.08083964977688543
1.0	46.0	31	0.03434038718143271
1.0	46.0	32	0.015423296900535325
1.0	46.0	42	0.03209396396520002
1.0	46.0	44	0.039234774399075134
1.0	46.0	48	0.10861198804408816
1.0	46.0	57	0.2928383135197079
1.0	46.0	58	0.09506639703850804
1.0	46.0	59	0.1256482902846674
1.0	46.0	60	0.09298641818028744
1.0	47.0	39	0.010818832648724144
1.0	47.0	8	0.056947807757552274
1.0	47.0	9	0.05966000581083381
1.0	47.0	10	0.09833069350863244
1.0	47.0	11	0.05100946477973672
1.0	47.0	13	0.10161828821880772
1.0	47.0	14	0.061897824475921716
1.0	47.0	40	0.02563122198061955
1.0	47.0	45	0.012635255824147798
1.0	47.0	18	0.04906416999920493
1.0	47.0	19	0.055967196882880495
1.0	47.0	20	0.05687723579547034
1.0	47.0	21	0.08746201294292265
1.0	47.0	22	0.07481013799558116
1.0	47.0	23	0.017427635915080127
1.0	47.0	41	0.040277720795791096
1.0	47.0	46	0.010806458682915484
1.0	47.0	26	0.03397430932595375
1.0	47.0	27	0.0521502371540325
1.0	47.0	28	0.0421331945738093
1.0	47.0	29	0.07087146970642998
1.0	47.0	30	0.04265848235672814
1.0	47.0	31	0.019298097561735398
1.0	47.0	32	0.011172802033792742
1.0	47.0	42	0.016848838144109198
1.0	47.0	44	0.02155987884728613
1.0	47.0	48	0.0440151076854624
1.0	47.0	57	0.03513945880477373
1.0	47.0	58	0.0398590219390386
1.0	47.0	59	0.05561161339786223
1.0	47.0	60	0.03826001913882922
