A1Num	A2Num	B1Num	Mean_classification_prob
6	33	8	0.1189476010768296
6	8	14	0.11418356204466315
6	23	14	0.11119658616842676
6	7	7	0.11069169827351852
6	9	20	0.10074346503515974
6	8	20	0.09897407861680003
6	16	3	0.09688754412907018
6	7	8	0.09644876421852756
6	23	20	0.0910496254278118
6	9	19	0.09096467749850908
6	27	22	0.0887028524997481
6	39	8	0.08853094736339959
6	16	7	0.08273878799401968
6	8	19	0.08234404026675307
6	7	12	0.08062819620001649
6	7	1	0.08025319457313061
6	16	8	0.0777619241683946
6	7	6	0.07503645071774989
6	29	22	0.07492842064259321
6	35	8	0.07176159337543242
6	34	8	0.07150386124928915
6	7	18	0.0695068778685282
6	26	22	0.06805669569831685
6	16	18	0.0660128225149748
6	36	8	0.062440249144281985
6	16	12	0.06045381237027651
6	9	21	0.05933285980599114
6	30	22	0.05784823955615444
6	16	6	0.057594498161107725
6	7	13	0.056521469641547736
6	16	1	0.05439190656005642
6	31	22	0.051571678820591334
6	32	22	0.04971684542692503
6	7	5	0.049059493072007104
6	37	8	0.0487241680532082
6	16	17	0.048411651881429936
6	38	8	0.04829435475438222
6	27	14	0.04811626666802473
6	1	3	0.04783486417794944
6	40	8	0.04738958526041387
6	7	17	0.04736439231739219
6	39	22	0.04693026688412715
6	7	11	0.0459615793451507
6	23	21	0.044649017177898084
6	16	13	0.04331999030924282
6	29	14	0.042254719900646526
6	33	22	0.04225365807268118
6	8	21	0.04200875047078341
6	15	7	0.0419318125160423
6	8	16	0.04085467893147073
6	15	8	0.039948796025047036
6	28	14	0.0394127250626513
6	23	15	0.03890485184102222
6	26	14	0.03838286885507329
6	30	14	0.037822248329529996
6	31	14	0.037396931374500994
6	13	8	0.037117672746753885
6	33	14	0.03702129058201704
6	16	11	0.03692776562886788
6	23	16	0.03405362017334968
6	7	22	0.033720879876858546
6	9	16	0.031576422106054006
6	16	5	0.030491099458852214
6	15	6	0.030382993360914545
6	7	10	0.0297203247935309
6	39	14	0.02794143119029008
6	15	1	0.027486066588509533
6	15	12	0.024378133832290358
6	16	10	0.02428126800575882
6	7	23	0.023163386973484613
6	25	8	0.022745537223986943
6	20	8	0.022590056191213043
6	35	14	0.02223551142026449
6	34	14	0.021717373712510143
6	7	9	0.020722294868185758
6	35	22	0.02066193753945066
6	7	14	0.0206103395402145
6	34	22	0.01997204585730148
6	15	13	0.019264404105858068
6	16	22	0.01908064792069131
6	12	8	0.018993097720088625
6	36	14	0.01866008868544192
6	17	8	0.018586147198103385
6	16	14	0.01848481078949419
6	15	3	0.018237683269012282
6	15	11	0.017760246302209858
6	36	22	0.01769814861530204
6	38	22	0.017566747896351268
6	16	9	0.017296909566233247
6	37	22	0.0170431962138091
6	16	20	0.017000215001708254
6	40	22	0.016841479654886932
6	10	8	0.01674681353867749
6	15	17	0.016492439510470826
6	19	8	0.016189112465063632
6	12	3	0.016024500454068447
6	12	17	0.015886335357066225
6	7	20	0.015736808889211692
6	11	17	0.015624692833399288
6	12	6	0.015600078348026325
6	18	8	0.015336446101481828
6	37	14	0.015069891061620006
6	38	14	0.015031963434357996
6	40	14	0.014730418396635112
6	15	18	0.014577539638581306
6	15	9	0.014528815407073644
6	5	8	0.014352501503732119
6	21	22	0.014149443660857582
6	5	6	0.013985509500448166
6	16	23	0.013695595436804318
6	5	17	0.013229620368417785
6	5	7	0.011405203845739478
6	5	11	0.011050166470896712
6	12	7	0.010830655192055349
6	15	14	0.010574560016183293
6	22	16	0.010463133695876549
6	7	19	0.010350333462072876
6	12	16	0.010346234868484341
6	13	14	0.010272691511118771
6	12	13	0.01011397790177848
6	15	5	0.010076426706783588
6	12	11	0.010013115498006242
6	15	20	0.009685122486155237
6	12	12	0.009600687802799891
6	25	22	0.009416488948217821
6	12	18	0.009405715600306536
6	16	16	0.009284912966415372
6	16	19	0.009122837918664835
6	12	1	0.009096318004918922
6	13	22	0.009068785580073895
6	5	18	0.008722952984399903
6	7	16	0.008715337253585479
6	5	3	0.008405629160760136
6	25	14	0.008178464045612555
6	16	21	0.008151926484546941
6	5	12	0.008060857884595462
6	17	14	0.007884338633288497
6	7	21	0.007624173287277972
6	5	5	0.007572738135045586
6	5	16	0.007528370478188255
6	15	22	0.007514404497932958
6	20	22	0.007460812872390231
6	20	14	0.007395845766800614
6	12	5	0.007347423077462846
6	5	1	0.007336241845116474
6	5	13	0.0072396467149761405
6	24	22	0.0070011722260891855
6	17	22	0.006782499257111174
6	19	22	0.006781462153625486
6	18	22	0.0067553540018608
6	12	22	0.006700899357807315
6	10	22	0.006617830246245476
6	5	22	0.006579418379603342
6	10	14	0.006491498298095746
6	5	20	0.00648235400520285
6	24	14	0.0064604544768894654
6	19	14	0.006299834218532125
6	18	14	0.0062617898467831066
6	15	16	0.006227346993026196
6	12	14	0.0061378346952996035
6	22	20	0.0058268189651174895
6	12	9	0.005558586198173268
6	15	10	0.005535328109643858
6	5	9	0.005399563380092264
6	5	14	0.005359269956854365
6	11	20	0.00524728369361286
6	15	23	0.005109379427440378
6	5	23	0.0049496900170035475
6	12	20	0.004906529478954438
6	5	19	0.004879751959227078
6	22	23	0.004860672769751613
6	15	19	0.004838740902577946
6	12	23	0.004401748958911351
6	22	10	0.004369266548343083
6	15	21	0.004335951970684769
6	5	21	0.0043275359925487745
6	5	10	0.004325031961548131
6	12	10	0.004259087897623089
6	22	21	0.004194157427186071
6	12	19	0.003995065440795278
6	11	21	0.003994167628021481
6	12	21	0.003920794885791328
