A1Num	B1Num	B2Num	Mean_classification_prob
17	8	21	0.3051960449986184
14	8	20	0.2942699334737192
10	8	25	0.28987878287345564
17	8	25	0.2829284588711972
2	8	25	0.2284292488720037
1	8	30	0.21747858332786474
13	8	26	0.21311113743300888
1	8	3	0.21055736062413669
8	8	25	0.2050509162255533
13	8	21	0.19726801826865054
14	8	21	0.1888086050311398
15	8	3	0.1861934179696527
12	8	25	0.18434190923849256
13	8	25	0.1718708341447385
4	8	3	0.1643535480526923
14	8	25	0.15953558345549207
5	8	3	0.15784652411056888
3	8	3	0.1545545852324039
4	8	26	0.14487286353410952
10	8	20	0.13075607575960552
5	8	25	0.11836428645571125
4	8	25	0.11456383446441926
5	8	26	0.10598379123104212
1	8	25	0.0781589850473066
3	8	25	0.07332695582195592
15	8	25	0.054928643205882866
7	8	17	0.040328563797317134
11	8	17	0.03839206505644919
6	8	17	0.03431123012040356
7	8	19	0.028063230471878288
7	8	20	0.02728367440195176
11	8	19	0.02670222368946125
7	8	18	0.026558448203370826
7	8	23	0.02586069769332829
11	8	18	0.02560675770339658
7	8	28	0.025041652613862125
11	8	23	0.025029846971815012
11	8	28	0.024385386013729464
6	8	19	0.023442114265966117
6	8	18	0.022369200610630198
6	8	23	0.021608223778015283
6	8	28	0.020878460420457167
7	8	21	0.01869717012599392
11	8	20	0.016396415984380432
11	8	21	0.015403267954239488
7	8	11	0.01525830046223319
11	8	4	0.014745622928608712
11	8	22	0.01243588493776812
11	8	11	0.011608436146975971
7	8	4	0.011170328211994393
7	8	12	0.010826355123850441
11	8	14	0.01057681337316728
6	8	11	0.010554368823482756
6	8	21	0.010194510448829068
7	8	22	0.009996573602257629
7	8	25	0.00973170208348734
1	8	26	0.009130963396293629
11	8	12	0.00892978754870089
7	8	1	0.008687572413682858
7	8	14	0.008371345896480755
11	8	1	0.008229417934451444
6	8	4	0.008214111201142744
6	8	12	0.008060654266300763
11	8	25	0.00793458508181917
7	8	27	0.00793400244530197
6	8	22	0.007714250144199961
7	8	13	0.0074786654358262
11	8	27	0.007007319308016314
6	8	14	0.006686606396940706
11	8	13	0.006668192797594158
6	8	20	0.006418267200968743
6	8	27	0.006284899891191114
6	8	1	0.006182326373643006
6	8	13	0.005809627305298317
6	8	25	0.005373123951420689
7	8	26	0.005359830348078355
11	8	26	0.004857056318664036
6	8	26	0.0043099931946439215
