A1Num	B1Num	B2Num	Mean_classification_prob
11	1	18	0.037635204392890385
6	1	17	0.031349471786138616
11	1	23	0.02936335661661542
17	1	20	0.029220979626104763
7	1	19	0.02767387007731072
7	1	23	0.02664448998543841
7	1	21	0.02651184405705596
7	1	18	0.02599616228286657
11	1	28	0.024965184065418845
11	1	21	0.02415001713764653
7	1	25	0.021855229871381488
6	1	19	0.021212070911099414
7	1	28	0.020295366611460097
6	1	18	0.020121519777477326
11	1	10	0.019696473237844396
6	1	23	0.01849131316761214
6	1	28	0.01675878744208678
7	1	10	0.016360675083758814
11	1	11	0.016302670742042082
11	1	25	0.014057317261897193
11	1	16	0.013788878391126622
11	1	12	0.01356994532455821
7	1	11	0.01332795710012482
7	1	16	0.01304346582149162
11	1	22	0.012253859013358041
6	1	10	0.011363668248399534
7	1	12	0.011224040612164476
11	1	13	0.0105883292384626
7	1	22	0.01017414268805335
6	1	11	0.010008685429765971
6	1	16	0.00952316760438694
11	1	14	0.009069638031079965
7	1	13	0.008706700617273456
7	1	8	0.008687572413682858
11	1	8	0.008229417934451444
7	1	14	0.007861224120361072
1	1	25	0.0077370614195223794
11	1	27	0.007584180989795573
6	1	12	0.007544277014515861
6	1	22	0.007410767929365248
1	1	26	0.007097074750080499
7	1	27	0.006709130920878064
6	1	8	0.006182326373643006
6	1	14	0.006027858180369388
6	1	13	0.005320398078517049
6	1	27	0.005313003595485357
6	1	25	0.005071288910119113
11	1	26	0.0047982682991445725
7	1	20	0.004652971011473361
6	1	21	0.0045619387076764285
11	1	20	0.0040406144995708175
7	1	26	0.003910987910942485
6	1	20	0.003482400493437979
6	1	26	0.0032346884103950256
