A1Num	A2Num	B1Num	Mean_classification_prob
7	23	9	0.20090901922098206
7	15	17	0.18423060410306435
7	16	11	0.1829916931075138
7	27	14	0.18156161285738506
7	29	14	0.18075277941286425
7	16	9	0.18007528629531572
7	8	17	0.17681634124135626
7	16	17	0.17294510007507854
7	30	14	0.1713771543376622
7	28	14	0.17016530066453445
7	3	2	0.1686787437417407
7	8	13	0.16666047505032666
7	4	2	0.16610685591991597
7	23	17	0.1629217026030095
7	26	14	0.16131970586509894
7	12	3	0.15904285336099958
7	32	14	0.15632444811693433
7	9	14	0.1435191598953484
7	23	13	0.14291015678849653
7	6	3	0.1408650950641875
7	11	17	0.1402695901959537
7	15	9	0.13936366834447447
7	31	14	0.13529808217683356
7	33	14	0.12556579086313682
7	16	13	0.12499107221943866
7	8	19	0.1247293502016614
7	6	7	0.11069169827351852
7	8	14	0.10902528923433467
7	23	14	0.1086034921538776
7	39	14	0.10679147693093777
7	2	2	0.10576097380533897
7	20	22	0.10419799680206357
7	20	8	0.10102041476142318
7	23	15	0.0972294794330617
7	34	14	0.09686782332194682
7	16	19	0.09681216031962757
7	15	11	0.0966863167853196
7	6	8	0.09644876421852756
7	16	14	0.0937622186734312
7	35	14	0.0929096041711675
7	12	7	0.092647794926464
7	12	1	0.09081238029686914
7	21	2	0.08975367033279233
7	25	8	0.08950389748870025
7	12	5	0.08790927504442743
7	36	14	0.0876362297192125
7	9	21	0.08688242655160057
7	38	14	0.08507620777050075
7	25	22	0.08469440819634055
7	15	13	0.08433495001845814
7	37	14	0.0820285224127044
7	6	12	0.08062819620001649
7	6	1	0.08025319457313061
7	6	6	0.07503645071774989
7	15	20	0.07303004396641997
7	12	12	0.07162299778183195
7	6	18	0.0695068778685282
7	40	14	0.06938666089962517
7	10	8	0.06934079411198682
7	5	3	0.06787214277256486
7	15	19	0.06775460363592717
7	23	21	0.0648892498192092
7	12	8	0.06478746881127108
7	15	14	0.06278842707362131
7	11	20	0.058664317561141724
7	22	10	0.05820959910948045
7	6	13	0.056521469641547736
7	8	21	0.05634638688201475
7	16	21	0.0553334548115368
7	12	10	0.05504017062113343
7	13	14	0.05497370607270696
7	18	8	0.05356015589100647
7	12	22	0.05353640486566952
7	15	21	0.05299731985078646
7	17	8	0.0527205055696788
7	19	8	0.051699773965274816
7	5	8	0.050340011165040055
7	6	5	0.049059493072007104
7	6	17	0.04736439231739219
7	12	6	0.04637880849854596
7	6	11	0.0459615793451507
7	5	6	0.04594830779307385
7	10	22	0.04276765905572898
7	11	21	0.04216555509564683
7	16	20	0.0419994913260628
7	5	1	0.041313063312842485
7	5	7	0.04115123944536945
7	12	18	0.03596560928692709
7	21	14	0.033880456905977734
7	5	5	0.03383009754139205
7	6	22	0.033720879876858546
7	12	17	0.03317886341085384
7	5	11	0.032174633781061765
7	17	22	0.031418444239080065
7	24	22	0.03135084885143151
7	19	22	0.03126850882478768
7	5	22	0.030576307247590338
7	5	12	0.0303490587613352
7	22	23	0.029879792142451036
7	5	17	0.02982269815320622
7	6	10	0.0297203247935309
7	12	23	0.02805164274274528
7	18	22	0.027638757964265938
7	9	17	0.026999026517785144
7	12	13	0.026532660309665237
7	5	13	0.0260737896723712
7	5	18	0.024587408121864943
7	6	23	0.023163386973484613
7	5	23	0.022635470183203082
7	8	20	0.02126969144318442
7	6	9	0.020722294868185758
7	6	14	0.0206103395402145
7	5	10	0.020314891715177717
7	5	16	0.01962823040910464
7	17	14	0.019617337191553886
7	23	20	0.01820251437973021
7	6	20	0.015736808889211692
7	18	14	0.01553254084146866
7	5	14	0.015009737365696562
7	15	16	0.013983694051959908
7	16	16	0.013828800148405198
7	12	11	0.013556361699501997
7	22	20	0.01350196375282104
7	12	20	0.012880621626380085
7	5	19	0.012490520495134588
7	20	14	0.011951732081154123
7	5	9	0.011728302604515708
7	12	9	0.01165624786435202
7	9	16	0.010842471431544957
7	9	20	0.010814616513043085
7	23	16	0.010615404082360636
7	25	14	0.010584847812725132
7	6	19	0.010350333462072876
7	8	16	0.010248405631555976
7	5	20	0.010170815455744544
7	6	16	0.008715337253585479
7	12	19	0.008626753229298893
7	22	21	0.008510573489300267
7	22	16	0.008404825122984865
7	5	21	0.008400651157148976
7	10	14	0.008162228629430147
7	12	21	0.008145662000159662
7	12	14	0.00801583168652994
7	12	16	0.007972899726300098
7	6	21	0.007624173287277972
7	24	14	0.0073659254019600735
7	19	14	0.0067259353601369296
