SimulatedComposition	O p-band center (eV)	Predicted Log k* (cm/s)	Bandgap	Charge transfer gap (eV)	Ehull	Formation energy
"Y6Nb2Zn2Ni6O24
"	-1.312	-2.6354	0	1.351	"165.793652358
"	"-1.63929586471
"
"Y6Ta2Zn2Ni6O24
"	-1.332	-2.7023	0	1.515	"156.941240858
"	"-1.70259571121
"
"Y6Ti2Zn2Ni6O24
"	-1.396	-2.9164	0	0.573	"174.631224037
"	"-1.64534828304
"
"Y6Zr2Zn2Ni6O24
"	-1.444	-3.077	0	0.408	"187.51962462
"	"-1.66001672671
"
"La1Y4Zn3Co8O24
"	-2.039	-5.0678	0	0	"168.464956314
"	"-1.31932803014
"
"La1Y4Zn3Fe8O24
"	-1.823	-4.3451	0	1.085	"158.367409518
"	"-1.57966806314
"
"La1Y4Mn8Zn3O24
"	-2.388	-6.2355	0	0	"121.204438234
"	"-1.71225886342
"
"La1Y4Zn3Ni8O24
"	-1.31	-2.6287	0	0	"291.955557984
"	"-0.984678655143
"
"Ba8Hf4Co4O24
"	-1.378	-2.8562	0	0	"131.350152405
"	"-2.02449966971
"
"Ba8Hf6Co2O24
"	-1.268	-2.4882	0	0.608	"70.2166732026
"	"-2.51533996821
"
"Ba8Hf7Co1O24
"	-1.556	-3.4518	0	0.101	"45.7531836013
"	"-2.75465686746
"
"Ba8Nb4Co4O24
"	-1.703	-3.9436	0.45	0.514	"37.9332462026
"	"-1.97633569221
"
"Ba8Nb7Co1O24
"	-4.221	-12.3683	0	0	"45.073198625
"	"-2.33448659433
"
"Ba8Ta4Co4O24
"	-1.729	-4.0306	0.302	0.348	"21.6105345
"	"-2.08127488521
"
"Ba8Ta6Co2O24
"	-4.632	-13.7434	0	0	"58.9939170208
"	"-2.40569741646
"
"Ba8Ta7Co1O24
"	-4.888	-14.6	0	0.113	"109.47390069
"	"-2.43290555708
"
"Ba8Zr4Co4O24
"	-1.4	-2.9298	0	0	"92.4493164052
"	"-1.98926866621
"
"Ba8Zr6Co2O24
"	-1.542	-3.4049	0.121	0.151	"28.9476692026
"	"-2.44541121296
"
"Ba8Zr7Co1O24
"	-1.51	-3.2979	0	0.121	"0
"	"-2.67930648633
"
"Ba8Hf4Fe4O24
"	-1.172	-2.167	0	1.982	"63.0457358456
"	"-2.19591206121
"
"Ba8Hf6Fe2O24
"	-1.205	-2.2774	0	2.039	"38.7490899228
"	"-2.59836153896
"
"Ba8Hf7Fe1O24
"	-1.266	-2.4815	0	2.205	"23.5011419614
"	"-2.80268590283
"
"Ba8Nb4Fe4O24
"	-1.553	-3.4417	1.545	1.617	"24.184234
"	"-2.14411208371
"
"Ba8Nb6Fe2O24
"	-4.061	-11.833	0	0	"24.8926086667
"	"-2.30853819771
"
"Ba8Nb7Fe1O24
"	-4.351	-12.8033	0	0	"25.66391325
"	"-2.35389587971
"
"Ba8Ta4Fe4O24
"	-1.632	-3.706	1.663	1.736	"0
"	"-2.25539602671
"
"Ba8Ta6Fe2O24
"	-4.784	-14.252	0	0	"121.571007147
"	"-2.35937023721
"
"Ba8Ta7Fe1O24
"	-5.061	-15.1788	0	0	"76.6050637187
"	"-2.46331534246
"
"Ca8Fe8O24
"	-1.908	-4.6295	0	0	"183.350687466
"	"-1.45426016371
"
"Ba7Ca1Fe8O24
"	-1.247	-2.4179	0	0	"97.8662705723
"	"-1.42332780046
"
"Ba6Ca2Fe8O24
"	-1.352	-2.7692	0	0	"118.303763453
"	"-1.42143224521
"
"Ba4Ca4Fe8O24
"	-1.543	-3.4083	0	0	"163.185749216
"	"-1.41363413471
"
"Ba2Ca6Fe8O24
"	-1.757	-4.1243	0	0	"171.608093341
"	"-1.43560727421
"
"Ba7Ce1Fe8O24
"	-1.412	-2.97	0	0	"87.3132966495
"	"-1.53771198921
"
"Ba6Ce2Fe8O24
"	-1.883	-4.5458	0	0	"120.214815608
"	"-1.62718362271
"
"Dy8Fe8O24
"	-3.498	-9.9493	0.486	0.59	"390.4260105
"	"-1.78929854971
"
"Ba7Dy1Fe8O24
"	-1.264	-2.4748	0	0	"95.1442246079
"	"-1.49532078621
"
"Ba6Dy2Fe8O24
"	-1.427	-3.0202	0	0.221	"121.368421525
"	"-1.55690946671
"
"Ba4Dy4Fe8O24
"	-1.955	-4.7867	0	0.109	"236.177315358
"	"-1.61772632771
"
"Ba2Dy6Fe8O24
"	-2.555	-6.7942	0	0	"270.007912929
"	"-1.74680618871
"
"Gd8Fe8O24
"	-3.547	-10.1133	0	0.275	"293.7439885
"	"-1.83164988671
"
"Ba7Gd1Fe8O24
"	-1.317	-2.6521	0	0	"83.920796936
"	"-1.49883742208
"
"Ba6Gd2Fe8O24
"	-1.495	-3.2477	0	0.218	"98.5115661808
"	"-1.56435273846
"
"Ba4Gd4Fe8O24
"	-1.757	-4.1243	0	0	"108.66685467
"	"-1.71440962121
"
"Ba2Gd6Fe8O24
"	-1.849	-4.4321	0	1.527	"70.9734215852
"	"-1.90326175396
"
"Ho8Fe8O24
"	-3.541	-10.0932	0.485	0.555	"417.7519315
"	"-1.76693733371
"
"Ba7Ho1Fe8O24
"	-1.267	-2.4848	0	0	"99.0662208891
"	"-1.49276632171
"
"Ba6Ho2Fe8O24
"	-1.428	-3.0235	0	0.184	"129.128414087
"	"-1.55188453771
"
"Ba4Ho4Fe8O24
"	-1.971	-4.8403	0	0.109	"254.265050483
"	"-1.60510871971
"
"Ba2Ho6Fe8O24
"	-2.577	-6.8678	0	0	"291.384615991
"	"-1.73064690171
"
"Ba7La1Fe8O24
"	-1.356	-2.7826	0	0	"66.0766101048
"	"-1.51790024664
"
"Ba7La1Fe7Co1O24
"	-1.4	-2.9298	0	0.363	"86.0496631495
"	"-1.48042371127
"
