Bandgap	Ehull	StructuredFormula	A1	A1_frac	A2	A2_frac	B1	B1_frac	B2	B2_frac	O	O_frac	atom_numA1	atom_numA2	atom_numB1	atom_numB2	atom_numO	mend_numA1	mend_numA2	mend_numB1	mend_numB2	mend_numO	atomic_rA1	atomic_rA2	atomic_rB1	atomic_rB2	atomic_rO	A1_X	A2_X	B1_X	B2_X	O_X	M_A1	M_A2	M_B1	M_B2	M_O	V_A1	V_A2	V_B1	V_B2	V_O	therm_con_A1	therm_con_A2	therm_con_B1	therm_con_B2	therm_con_O	polarizability_A1	polarizability_A2	polarizability_B1	polarizability_B2	polarizability_O	lattice_const_A1	lattice_const_A2	lattice_const_B1	lattice_const_B2	lattice_const_O	Row_A1	Row_A2	Row_B1	Row_B2	Row_O	Group_A1	Group_A2	Group_B1	Group_B2	Group_O	nA	nB	nO	rA_avg	rB_avg	rO	rA/rB	rA/rO	rB/rO	rA-rB	Goldschmidt_TF	SISSO_1	SISSO_2	SISSO_3	SISSO_4	SISSO_5	SISSO_6	SISSO_7	SISSO_8	SISSO_9	SISSO_10
0.826	16.575055574500002	La(Ga0.75Co0.25)O3	La	1.0	_	0.0	Ga	0.75	Co	0.25	O	3.0	57	0	31	27	8	33.0	0.0	81.0	64.0	101.0	1.95	0.0	1.3	1.35	0.6	1.1	0.0	1.81	1.88	3.44	138.90547	0.0	69.723	58.933195	15.9994	22.39	0.0	11.8	6.67	17.36	13.0	0.0	29.0	100.0	0.02658	215.0	0.0	50.0	55.0	5.3	3.75	0.0	4.51	2.51	6.83	8	0	4	4	2	3	0	13	9	16	3.0	3.0	-2	1.172	0.7412500000000001	1.26	1.581112984822934	0.9301587301587301	0.5882936507936508	0.43074999999999986	0.8593047804350697	40.775124999999996	12.66	9.239999999999998	0.002728385786237026	23.849999999999998	221.84963701517705	222.27819179561214	223.96355818541718	-0.6226611471240676	1.1806660151259645
0.71	26.318475077600002	La(Ga0.5Co0.5)O3	La	1.0	_	0.0	Ga	0.5	Co	0.5	O	3.0	57	0	31	27	8	33.0	0.0	81.0	64.0	101.0	1.95	0.0	1.3	1.35	0.6	1.1	0.0	1.81	1.88	3.44	138.90547	0.0	69.723	58.933195	15.9994	22.39	0.0	11.8	6.67	17.36	13.0	0.0	29.0	100.0	0.02658	215.0	0.0	50.0	55.0	5.3	3.75	0.0	4.51	2.51	6.83	8	0	4	4	2	3	0	13	9	16	3.0	3.0	-2	1.172	0.7225	1.26	1.622145328719723	0.9301587301587301	0.5734126984126985	0.4494999999999999	0.8674318748275831	40.775124999999996	12.66	9.239999999999998	0.002728385786237026	23.849999999999998	221.8273546712803	222.24528654610785	223.96355818541718	-0.6164842807620969	1.2029483590227534
3.1489999999999996	1.747132	La(Cr0.125Ga0.875)O3	La	1.0	_	0.0	Cr	0.125	Ga	0.875	O	3.0	57	0	24	31	8	33.0	0.0	57.0	81.0	101.0	1.95	0.0	1.4	1.3	0.6	1.1	0.0	1.66	1.81	3.44	138.90547	0.0	51.9961	69.723	15.9994	22.39	0.0	7.23	11.8	17.36	13.0	0.0	94.0	29.0	0.02658	215.0	0.0	83.0	50.0	5.3	3.75	0.0	2.88	4.51	6.83	8	0	4	4	2	3	0	6	13	16	3.0	3.0	-2	1.172	0.759375	1.26	1.5433744855967078	0.9301587301587301	0.6026785714285714	0.4126249999999999	0.8515920479582462	73.92512500000001	52.66	9.389999999999999	0.0007527061246069511	57.0	221.8692505144033	222.30821756236153	223.98544972998846	-0.6284832052501675	1.1610525158997382
2.701	0.0	La(Cr0.25Ga0.75)O3	La	1.0	_	0.0	Cr	0.25	Ga	0.75	O	3.0	57	0	24	31	8	33.0	0.0	57.0	81.0	101.0	1.95	0.0	1.4	1.3	0.6	1.1	0.0	1.66	1.81	3.44	138.90547	0.0	51.9961	69.723	15.9994	22.39	0.0	7.23	11.8	17.36	13.0	0.0	94.0	29.0	0.02658	215.0	0.0	83.0	50.0	5.3	3.75	0.0	2.88	4.51	6.83	8	0	4	4	2	3	0	6	13	16	3.0	3.0	-2	1.172	0.75875	1.26	1.5446457990115319	0.9301587301587301	0.6021825396825397	0.4132499999999999	0.8518556987470878	73.92512500000001	52.66	9.389999999999999	0.0007527061246069511	57.0	221.86860420098847	222.30720989973557	223.98544972998846	-0.6282848299110332	1.1616988293145623
2.342	0.0	La(Mn0.5Ga0.5)O3	La	1.0	_	0.0	Mn	0.5	Ga	0.5	O	3.0	57	0	25	31	8	33.0	0.0	60.0	81.0	101.0	1.95	0.0	1.4	1.3	0.6	1.1	0.0	1.55	1.81	3.44	138.90547	0.0	54.938045	69.723	15.9994	22.39	0.0	7.35	11.8	17.36	13.0	0.0	7.8	29.0	0.02658	215.0	0.0	68.0	50.0	5.3	3.75	0.0	8.89	4.51	6.83	8	0	4	4	2	3	0	7	13	16	3.0	3.0	-2	1.172	0.74	1.26	1.5837837837837838	0.9301587301587301	0.5873015873015873	0.43199999999999994	0.8598418459228417	59.035125	36.66	9.5	0.0007527061246069511	42.11	221.84821621621623	222.27605806213907	223.98544972998846	-0.6222542855920726	1.1820868140868142
2.479	0.0	La(Ga0.875Fe0.125)O3	La	1.0	_	0.0	Ga	0.875	Fe	0.125	O	3.0	57	0	31	26	8	33.0	0.0	81.0	61.0	101.0	1.95	0.0	1.3	1.4	0.6	1.1	0.0	1.81	1.83	3.44	138.90547	0.0	69.723	55.845	15.9994	22.39	0.0	11.8	7.09	17.36	13.0	0.0	29.0	80.0	0.02658	215.0	0.0	50.0	62.0	5.3	3.75	0.0	4.51	2.87	6.83	8	0	4	4	2	3	0	13	8	16	3.0	3.0	-2	1.172	0.75125	1.26	1.5600665557404325	0.9301587301587301	0.5962301587301587	0.42074999999999996	0.8550322892955543	40.775124999999996	12.66	9.239999999999998	0.002171856304087709	23.849999999999998	221.86068344425956	222.29496573355513	223.96355818541718	-0.6258911145303597	1.1696195860434628
2.309	0.0	La(Ga0.75Fe0.25)O3	La	1.0	_	0.0	Ga	0.75	Fe	0.25	O	3.0	57	0	31	26	8	33.0	0.0	81.0	61.0	101.0	1.95	0.0	1.3	1.4	0.6	1.1	0.0	1.81	1.83	3.44	138.90547	0.0	69.723	55.845	15.9994	22.39	0.0	11.8	7.09	17.36	13.0	0.0	29.0	80.0	0.02658	215.0	0.0	50.0	62.0	5.3	3.75	0.0	4.51	2.87	6.83	8	0	4	4	2	3	0	13	8	16	3.0	3.0	-2	1.172	0.7425	1.26	1.5784511784511783	0.9301587301587301	0.5892857142857143	0.4294999999999999	0.8587683854410404	40.775124999999996	12.66	9.239999999999998	0.002171856304087709	23.849999999999998	221.85104882154883	222.28031720698985	223.96355818541718	-0.623067312726124	1.1792542087542088
2.14	0.0	La(Ga0.5Fe0.5)O3	La	1.0	_	0.0	Ga	0.5	Fe	0.5	O	3.0	57	0	31	26	8	33.0	0.0	81.0	61.0	101.0	1.95	0.0	1.3	1.4	0.6	1.1	0.0	1.81	1.83	3.44	138.90547	0.0	69.723	55.845	15.9994	22.39	0.0	11.8	7.09	17.36	13.0	0.0	29.0	80.0	0.02658	215.0	0.0	50.0	62.0	5.3	3.75	0.0	4.51	2.87	6.83	8	0	4	4	2	3	0	13	8	16	3.0	3.0	-2	1.172	0.725	1.26	1.616551724137931	0.9301587301587301	0.5753968253968254	0.44699999999999995	0.866339391358027	40.775124999999996	12.66	9.239999999999998	0.002171856304087709	23.849999999999998	221.83044827586207	222.2497876672201	223.96355818541718	-0.6173170994494933	1.1998547544409615
1.531	33.436112274	La(Mn0.125Ga0.875)O3	La	1.0	_	0.0	Mn	0.125	Ga	0.875	O	3.0	57	0	25	31	8	33.0	0.0	60.0	81.0	101.0	1.95	0.0	1.4	1.3	0.6	1.1	0.0	1.55	1.81	3.44	138.90547	0.0	54.938045	69.723	15.9994	22.39	0.0	7.35	11.8	17.36	13.0	0.0	7.8	29.0	0.02658	215.0	0.0	68.0	50.0	5.3	3.75	0.0	8.89	4.51	6.83	8	0	4	4	2	3	0	7	13	16	3.0	3.0	-2	1.172	0.755	1.26	1.5523178807947018	0.9301587301587301	0.5992063492063492	0.4169999999999999	0.8534410381368155	59.035125	36.66	9.5	0.0007527061246069511	42.11	221.8646821192053	222.30112315734212	223.98544972998846	-0.6270910288164667	1.165620911097732
0.898	7.745588476569999	La(Mn0.25Ga0.75)O3	La	1.0	_	0.0	Mn	0.25	Ga	0.75	O	3.0	57	0	25	31	8	33.0	0.0	60.0	81.0	101.0	1.95	0.0	1.4	1.3	0.6	1.1	0.0	1.55	1.81	3.44	138.90547	0.0	54.938045	69.723	15.9994	22.39	0.0	7.35	11.8	17.36	13.0	0.0	7.8	29.0	0.02658	215.0	0.0	68.0	50.0	5.3	3.75	0.0	8.89	4.51	6.83	8	0	4	4	2	3	0	7	13	16	3.0	3.0	-2	1.172	0.75	1.26	1.5626666666666666	0.9301587301587301	0.5952380952380952	0.42199999999999993	0.8555640257938725	59.035125	36.66	9.5	0.0007527061246069511	42.11	221.85933333333332	222.2928973591272	223.98544972998846	-0.6254897776185436	1.170969696969697
