Chemical_formula	found_on_web
Sr(Hf0.65Zr0.35)O3	0
Eu(Sr0.05Ir0.95)O3	0
Sr(Y0.5Nb0.5)O3	1
Eu(Mn0.1Ir0.9)O3	0
Sr(Ti0.3Tc0.7)O3	0
(Eu0.05Gd0.95)FeO3	0
Sr(Ti0.15Re0.85)O3	0
Sr(La0.4W0.6)O3	0
Sr(Zr0.6W0.4)O3	0
Sr(Zr0.65W0.35)O3	0
Ba(Ce0.6Pa0.4)O3	0
(Eu0.3Gd0.7)FeO3	0
(Ba0.05Sr0.95)ZrO3	0
Sr(Zr0.65Re0.35)O3	0
Eu(Fe0.8W0.2)O3	0
Sr(Zr0.7Re0.3)O3	0
Eu(Mn0.2Ir0.8)O3	0
Sr(Zr0.95Re0.05)O3	0
Sr(Zr0.6Re0.4)O3	0
(Ba0.1Sr0.9)ZrO3	0
Sr(Hf0.6Zr0.4)O3	0
Sr(Li0.4Mo0.6)O3	0
Sr(Ti0.1Re0.9)O3	0
Sr(Zr0.5Re0.5)O3	0
Sr(Zr0.75Re0.25)O3	0
Eu(Sr0.15Ir0.85)O3	0
Sr(Li0.1Tc0.9)O3	0
Sr(Hf0.75Ti0.25)O3	0
Sr(Zr0.5Tc0.5)O3	0
Sr(Hf0.55Zr0.45)O3	0
(Pr0.05Sm0.95)CrO3	0
Sr(Ti0.35Tc0.65)O3	0
Sr(Li0.15Tc0.85)O3	0
Ba(Ce0.8U0.2)O3	0
(Ba0.15Sr0.85)ZrO3	0
Sr(Ti0.3W0.7)O3	0
Eu(Ti0.2Fe0.8)O3	0
Sr(Ti0.35W0.65)O3	0
Ba(Ce0.75Pa0.25)O3	0
(Ba0.3Sr0.7)ZrO3	1
Eu(Sr0.1Ir0.9)O3	0
Sr(Zr0.9Re0.1)O3	0
(Ba0.95Sr0.05)CeO3	0
Sr(Zr0.85Re0.15)O3	0
Eu(Nb0.3Fe0.7)O3	0
(Ba0.2Sr0.8)ZrO3	0
Ba(Ce0.5Pa0.5)O3	0
Sr(Zr0.8Re0.2)O3	0
Eu(Nb0.05Fe0.95)O3	0
(Ba0.75Sr0.25)CeO3	0
Sr(Hf0.4Zr0.6)O3	0
(Ba0.85Sr0.15)CeO3	0
Sr(Hf0.35Zr0.65)O3	0
(Ba0.9Sr0.1)CeO3	0
(Ba0.8Sr0.2)CeO3	0
Eu(Fe0.6W0.4)O3	0
Sr(Hf0.45Zr0.55)O3	0
Sr(Ti0.2Re0.8)O3	0
Eu(Mn0.05Ir0.95)O3	0
Eu(Cr0.25Ni0.75)O3	0
Sr(Hf0.5Zr0.5)O3	1
(Ba0.7Sr0.3)CeO3	0
Eu(Mn0.7W0.3)O3	0
Sr(Sc0.5V0.5)O3	0
Sr(Ti0.4Tc0.6)O3	0
(Ba0.8Yb0.2)CeO3	0
Eu(Nb0.2Fe0.8)O3	0
Ba(Ce0.95Th0.05)O3	0
Eu(Co0.65Mo0.35)O3	0
Sr(Sc0.4W0.6)O3	0
Eu(Nb0.1Fe0.9)O3	0
(Ba0.5Sr0.5)CeO3	0
Sr(Hf0.3Zr0.7)O3	0
(Ba0.55Sr0.45)CeO3	0
(Ba0.45Sr0.55)ZrO3	0
(Ba0.4Sr0.6)ZrO3	0
Eu(Co0.7Mo0.3)O3	0
Eu(Mn0.25Ir0.75)O3	0
Eu(Co0.75Mo0.25)O3	0
Eu(Ti0.25Fe0.75)O3	0
(Ba0.55Sr0.45)ZrO3	0
(Ba0.5Sr0.5)ZrO3	0
(Ba0.6Sr0.4)CeO3	0
Eu(Nb0.15Fe0.85)O3	0
(Ba0.25Sr0.75)ZrO3	0
Eu(Nb0.25Fe0.75)O3	0
(Ba0.85Yb0.15)CeO3	0
(Ba0.65Sr0.35)CeO3	0
Ba(Ce0.85Pa0.15)O3	0
Ba(Ce0.85Th0.15)O3	0
Eu(Cr0.05Ir0.95)O3	0
Sr(Hf0.25Zr0.75)O3	0
Ba(Ce0.9Th0.1)O3	0
Sr(Li0.2Tc0.8)O3	0
Sr(Ti0.25Re0.75)O3	0
(Ba0.35Sr0.65)ZrO3	0
(Ba0.8Eu0.2)CeO3	0
Ba(Th0.8Ti0.2)O3	0
